Postcode,Latitude,Longitude,Easting,Northing,GridRef,Introduced,Terminated
BB3 0DN,53.699089,-2.469738,369084,422619,SD690226,1986-04-01 00:00:00,
BB3 0DP,53.701964,-2.467861,369210,422938,SD692229,1980-01-01 00:00:00,
BB3 0DQ,53.698777,-2.469053,369129,422584,SD691225,1980-01-01 00:00:00,
BB3 0DR,53.700798,-2.467273,369248,422808,SD692228,1980-01-01 00:00:00,
BB3 0DS,53.702129,-2.467045,369264,422956,SD692229,1980-01-01 00:00:00,
BB3 0DT,53.702672,-2.466082,369328,423016,SD693230,1980-01-01 00:00:00,
BB3 0DU,53.702356,-2.466275,369315,422981,SD693229,1986-04-01 00:00:00,
BB3 0DW,53.701128,-2.467761,369216,422845,SD692228,1980-01-01 00:00:00,
BB3 0DX,53.703445,-2.466015,369333,423102,SD693231,1980-01-01 00:00:00,2011-07-01 00:00:00
BB3 0DY,53.702837,-2.467553,369231,423035,SD692230,1980-01-01 00:00:00,
BB3 0DZ,53.703299,-2.466679,369289,423086,SD692230,1998-06-01 00:00:00,
BB3 0EA,53.702648,-2.465218,369385,423013,SD693230,1980-01-01 00:00:00,
BB3 0EB,53.703384,-2.465393,369374,423095,SD693230,1980-01-01 00:00:00,
BB3 0ED,53.703431,-2.464999,369400,423100,SD694231,1980-01-01 00:00:00,1995-12-01 00:00:00
BB3 0EE,53.703721,-2.464276,369448,423132,SD694231,1980-01-01 00:00:00,
BB3 0EF,53.704029,-2.463779,369481,423166,SD694231,1980-01-01 00:00:00,
BB3 0EG,53.704826,-2.46453,369432,423255,SD694232,1980-01-01 00:00:00,
BB3 0EH,53.706175,-2.466666,369292,423406,SD692234,1980-01-01 00:00:00,
BB3 0EJ,53.70425,-2.462418,369571,423190,SD695231,1980-01-01 00:00:00,
BB3 0EL,53.703777,-2.461489,369632,423137,SD696231,1980-01-01 00:00:00,
BB3 0EN,53.703712,-2.46217,369587,423130,SD695231,1980-01-01 00:00:00,
BB3 0EP,53.702844,-2.463387,369506,423034,SD695230,1980-01-01 00:00:00,
BB3 0EQ,53.706304,-2.463471,369503,423419,SD695234,1980-01-01 00:00:00,
BB3 0ER,53.702304,-2.463639,369489,422974,SD694229,1980-01-01 00:00:00,
BB3 0ES,53.702233,-2.465547,369363,422967,SD693229,1980-01-01 00:00:00,
BB3 0ET,53.70149,-2.464751,369415,422884,SD694228,1980-01-01 00:00:00,
BB3 0EU,53.702416,-2.462474,369566,422986,SD695229,1986-07-01 00:00:00,
BB3 0EW,53.702544,-2.464217,369451,423001,SD694230,1980-01-01 00:00:00,
BB3 0EX,53.701477,-2.465841,369343,422883,SD693228,1980-01-01 00:00:00,
BB3 0EY,53.701307,-2.46337,369506,422863,SD695228,1980-01-01 00:00:00,
BB3 0EZ,53.70074,-2.463455,369500,422800,SD695228,1980-01-01 00:00:00,1995-12-01 00:00:00
BB3 0FA,53.70074,-2.463455,369500,422800,SD695228,1993-01-01 00:00:00,1995-12-01 00:00:00
BB3 0FB,53.695014,-2.468208,369182,422165,SD691221,2000-12-01 00:00:00,2001-11-01 00:00:00
BB3 0FD,53.713952,-2.479691,368438,424277,SD684242,2011-05-01 00:00:00,2011-07-01 00:00:00
BB3 0FE,53.713952,-2.479691,368438,424277,SD684242,2006-10-01 00:00:00,
BB3 0FG,53.714708,-2.479473,368453,424361,SD684243,2006-10-01 00:00:00,
BB3 0FH,53.696699,-2.467333,369241,422352,SD692223,2013-08-01 00:00:00,
BB3 0FP,53.70074,-2.463455,369500,422800,SD695228,1993-01-01 00:00:00,1994-12-01 00:00:00
